,year,mon,day,dark_time
0,2013,3,27,0
1,2013,3,28,35663
2,2013,3,29,42791
3,2013,3,30,27915
4,2013,3,31,53125
5,2013,4,1,15018
6,2013,4,2,9818
7,2013,4,3,24528
8,2013,4,4,12568
9,2013,4,5,18910
10,2013,4,6,30374
11,2013,4,7,35047
12,2013,4,8,8458
13,2013,4,9,22989
14,2013,4,10,27367
15,2013,4,11,11220
16,2013,4,12,35645
17,2013,4,14,26073
18,2013,4,15,16577
19,2013,4,16,52973
20,2013,4,17,7717
21,2013,4,18,22737
22,2013,4,19,12192
23,2013,4,20,4241
24,2013,4,21,27217
25,2013,4,22,4439
26,2013,4,23,27128
27,2013,4,24,0
28,2013,4,26,11542
29,2013,4,27,27021
30,2013,4,28,15717
31,2013,4,29,16587
32,2013,4,30,0
33,2013,5,2,14009
34,2013,5,3,38548
35,2013,5,5,5645
36,2013,5,6,39085
37,2013,5,7,35826
38,2013,5,8,4376
39,2013,5,9,19284
40,2013,5,10,3901
41,2013,5,12,20125
42,2013,5,13,23908
43,2013,5,14,0
44,2013,5,15,8971
45,2013,5,16,0
46,2013,5,17,3624
47,2013,5,20,8676
48,2013,5,22,0
