,year,mon,day,dark_time
0,2013,3,27,0
1,2013,3,28,19378
2,2013,3,29,25827
3,2013,3,30,19285
4,2013,3,31,14469
5,2013,4,1,19384
6,2013,4,2,19672
7,2013,4,3,34534
8,2013,4,4,30761
9,2013,4,5,23871
10,2013,4,6,6723
11,2013,4,7,12288
12,2013,4,8,4249
13,2013,4,9,46952
14,2013,4,10,21915
15,2013,4,11,22999
16,2013,4,12,16270
17,2013,4,13,4060
18,2013,4,14,6657
19,2013,4,15,21911
20,2013,4,16,0
21,2013,4,17,0
22,2013,4,18,17654
23,2013,4,19,20005
24,2013,4,20,0
25,2013,4,21,29247
26,2013,4,22,51433
27,2013,4,23,14554
28,2013,4,24,0
29,2013,4,26,9298
30,2013,4,27,0
31,2013,4,29,4160
32,2013,4,30,0
33,2013,5,4,5108
34,2013,5,15,0
35,2013,5,25,0
