,year,mon,day,dark_time
0,2013,3,27,41804
1,2013,3,28,27246
2,2013,3,29,32683
3,2013,3,30,18717
4,2013,3,31,18187
5,2013,4,1,61679
6,2013,4,2,74116
7,2013,4,3,58996
8,2013,4,4,21378
9,2013,4,5,25204
10,2013,4,6,24154
11,2013,4,7,32268
12,2013,4,8,29129
13,2013,4,9,4158
14,2013,4,10,65974
15,2013,4,11,60176
16,2013,4,12,65058
17,2013,4,13,0
18,2013,4,14,65721
19,2013,4,15,33161
20,2013,4,16,39986
21,2013,4,17,57877
22,2013,4,18,57489
23,2013,4,19,6470
24,2013,4,20,20377
25,2013,4,22,45450
26,2013,4,23,24200
27,2013,4,24,53816
28,2013,4,25,60289
29,2013,4,26,42408
30,2013,4,27,55486
31,2013,4,28,30489
32,2013,4,29,50061
33,2013,4,30,47030
34,2013,5,1,32748
35,2013,5,2,0
36,2013,5,3,14007
37,2013,5,4,29102
38,2013,5,5,14718
39,2013,5,6,55209
40,2013,5,7,65839
41,2013,5,8,16878
42,2013,5,11,24180
43,2013,5,12,20757
44,2013,5,13,54147
45,2013,5,14,17701
46,2013,5,15,58445
47,2013,5,16,11235
48,2013,5,17,35232
49,2013,5,18,4607
50,2013,5,19,0
51,2013,5,20,30893
52,2013,5,21,9413
53,2013,5,22,22326
54,2013,5,23,4365
55,2013,5,24,37176
56,2013,5,25,56396
57,2013,5,26,0
58,2013,5,27,15131
59,2013,5,28,40538
60,2013,5,29,17920
