,year,mon,day,dark_time
0,2013,3,29,18018
1,2013,3,30,11688
2,2013,3,31,24412
3,2013,4,1,7895
4,2013,4,2,4987
5,2013,4,3,8801
6,2013,4,4,5436
7,2013,4,5,23986
8,2013,4,6,10449
9,2013,4,7,31253
10,2013,4,8,29614
11,2013,4,9,8092
12,2013,4,10,12847
13,2013,4,11,15446
14,2013,4,12,16338
15,2013,4,13,0
16,2013,4,14,16969
17,2013,4,15,43727
18,2013,4,16,61200
19,2013,4,17,16116
20,2013,4,18,22949
21,2013,4,19,22630
22,2013,4,20,13456
23,2013,4,21,29867
24,2013,4,22,9093
25,2013,4,23,0
26,2013,4,24,48045
27,2013,4,25,25749
28,2013,4,26,7594
29,2013,4,27,16812
30,2013,4,28,27477
31,2013,4,29,48253
32,2013,4,30,26207
33,2013,5,1,9835
34,2013,5,2,37753
35,2013,5,3,18154
36,2013,5,4,7255
37,2013,5,5,7762
38,2013,5,6,13910
39,2013,5,7,21555
40,2013,5,8,17276
41,2013,5,9,12767
42,2013,5,10,22546
43,2013,5,11,27251
44,2013,5,12,29228
45,2013,5,13,28791
46,2013,5,14,0
47,2013,5,15,4831
48,2013,5,16,28050
49,2013,5,17,13506
50,2013,5,18,11622
51,2013,5,19,69722
52,2013,5,20,27522
53,2013,5,21,28626
54,2013,5,22,21037
55,2013,5,23,31228
56,2013,5,24,27003
57,2013,5,25,27550
58,2013,5,26,21284
59,2013,5,27,7760
60,2013,5,28,5354
61,2013,5,29,15817
62,2013,5,30,20178
63,2013,5,31,10031
