,year,mon,day,dark_time
0,2013,3,28,19459
1,2013,3,29,63282
2,2013,3,30,17162
3,2013,3,31,25401
4,2013,4,1,63250
5,2013,4,2,54139
6,2013,4,3,9789
7,2013,4,4,62328
8,2013,4,5,3961
9,2013,4,6,36730
10,2013,4,7,44408
11,2013,4,8,4738
12,2013,4,9,42562
13,2013,4,10,44729
14,2013,4,11,40795
15,2013,4,12,36213
16,2013,4,13,25142
17,2013,4,14,46682
18,2013,4,15,28625
19,2013,4,16,17727
20,2013,4,17,50121
21,2013,4,18,55715
22,2013,4,19,25439
23,2013,4,20,54394
24,2013,4,21,30160
25,2013,4,22,25505
26,2013,4,23,64920
27,2013,4,24,45613
28,2013,4,25,34456
29,2013,4,26,50819
30,2013,4,27,42223
31,2013,4,28,38722
32,2013,4,29,34348
33,2013,4,30,4123
34,2013,5,1,6224
35,2013,5,2,28597
36,2013,5,3,8312
37,2013,5,4,47673
38,2013,5,5,10107
39,2013,5,6,42274
40,2013,5,7,5199
41,2013,5,8,51681
42,2013,5,9,53181
43,2013,5,10,36740
44,2013,5,11,52150
45,2013,5,12,5684
46,2013,5,13,11988
47,2013,5,14,48054
48,2013,5,15,56449
49,2013,5,16,10432
50,2013,5,17,18034
51,2013,5,18,3940
52,2013,5,21,14851
53,2013,5,22,19956
