,year,mon,day,dark_time
0,2013,3,28,28603
1,2013,3,29,35376
2,2013,4,1,8041
3,2013,4,2,27035
4,2013,4,3,39069
5,2013,4,5,0
6,2013,4,8,38017
7,2013,4,9,0
8,2013,4,10,15110
9,2013,4,11,16555
10,2013,4,12,43853
11,2013,4,13,17212
12,2013,4,14,0
13,2013,4,21,0
14,2013,4,22,62568
15,2013,4,23,4417
16,2013,4,24,12980
17,2013,4,25,56379
18,2013,4,26,10534
19,2013,4,27,29914
20,2013,4,28,17033
21,2013,4,29,26884
22,2013,4,30,10760
23,2013,5,1,0
24,2013,5,5,26735
25,2013,5,7,0
26,2013,5,11,3718
27,2013,5,14,40833
28,2013,5,15,27456
29,2013,5,16,0
30,2013,5,18,0
