,year,mon,day,dark_time
0,2013,3,29,51629
1,2013,3,30,6393
2,2013,4,1,14143
3,2013,4,2,0
4,2013,4,3,0
5,2013,4,4,13028
6,2013,4,5,4859
7,2013,4,7,0
8,2013,4,9,35902
9,2013,4,10,0
10,2013,4,11,53523
11,2013,4,12,0
12,2013,4,13,8951
13,2013,4,14,4381
14,2013,4,15,11005
15,2013,4,19,0
16,2013,4,20,17288
17,2013,4,21,0
18,2013,4,22,12702
19,2013,4,25,0
20,2013,4,26,34799
21,2013,4,29,0
22,2013,4,30,24901
23,2013,5,1,5232
24,2013,5,8,18439
25,2013,5,10,0
26,2013,5,13,44721
27,2013,5,14,29782
28,2013,5,21,13478
29,2013,5,22,5334
30,2013,5,27,7416
31,2013,5,28,14874
