,year,mon,day,dark_time
0,2013,4,1,7694
1,2013,4,2,4001
2,2013,4,3,63338
3,2013,4,4,30366
4,2013,4,5,16403
5,2013,4,6,26698
6,2013,4,7,7546
7,2013,4,8,29579
8,2013,4,9,29889
9,2013,4,10,39271
10,2013,4,11,46781
11,2013,4,12,0
12,2013,4,13,25683
13,2013,4,14,30850
14,2013,4,15,29732
15,2013,4,16,14311
16,2013,4,17,26502
17,2013,4,18,9498
18,2013,4,19,4613
19,2013,4,20,13308
20,2013,4,21,28361
21,2013,4,22,3941
22,2013,4,23,7802
23,2013,4,24,0
24,2013,4,25,11265
25,2013,4,26,0
26,2013,4,27,44302
27,2013,4,28,26431
28,2013,4,29,0
29,2013,4,30,8575
30,2013,5,1,24599
31,2013,5,2,20242
32,2013,5,3,17205
33,2013,5,4,0
34,2013,5,5,35549
35,2013,5,6,28103
36,2013,5,7,21948
37,2013,5,8,28980
38,2013,5,9,27779
39,2013,5,10,17948
40,2013,5,11,0
41,2013,5,12,31933
42,2013,5,13,4301
43,2013,5,14,0
44,2013,5,15,40390
45,2013,5,16,27743
46,2013,5,17,0
47,2013,5,18,31934
48,2013,5,19,0
49,2013,5,20,0
50,2013,5,21,12725
51,2013,5,22,7919
