,year,mon,day,dark_time
0,2013,3,27,36811
1,2013,3,28,13197
2,2013,3,29,60686
3,2013,3,30,10332
4,2013,3,31,26228
5,2013,4,1,63451
6,2013,4,2,44556
7,2013,4,3,22406
8,2013,4,4,29127
9,2013,4,5,60885
10,2013,4,6,25201
11,2013,4,7,60561
12,2013,4,8,46990
13,2013,4,9,11046
14,2013,4,10,45158
15,2013,4,11,29062
16,2013,4,12,0
17,2013,4,13,15464
18,2013,4,14,21832
19,2013,4,15,12559
20,2013,4,16,53369
21,2013,4,17,3841
22,2013,4,18,14278
23,2013,4,19,3731
24,2013,4,20,0
25,2013,4,21,53267
26,2013,4,22,52283
27,2013,4,23,49595
28,2013,4,24,3922
29,2013,4,25,45367
30,2013,4,26,44365
31,2013,4,27,13157
32,2013,4,28,0
33,2013,4,29,9524
34,2013,4,30,34505
35,2013,5,1,19995
36,2013,5,2,65918
37,2013,5,3,7594
38,2013,5,4,11233
39,2013,5,5,15415
40,2013,5,6,12545
41,2013,5,7,7236
42,2013,5,8,8315
43,2013,5,9,10135
44,2013,5,10,13900
45,2013,5,12,9127
46,2013,5,13,58761
47,2013,5,14,0
48,2013,5,15,0
49,2013,5,16,54921
50,2013,5,17,51816
51,2013,5,18,11685
52,2013,5,19,11701
53,2013,5,20,8255
54,2013,5,21,9145
55,2013,5,22,0
56,2013,5,23,14149
57,2013,5,24,0
58,2013,5,25,31442
59,2013,5,26,59878
60,2013,5,27,27074
61,2013,5,28,66344
62,2013,5,29,22670
63,2013,5,30,9243
