,uid,activity_mean,activity_var,audio_mean,audio_var,bluetooth_sum,bluetooth_var,bluetooth_mean,bluetooth_day_num,conversation_sum,conversation_var,conversation_mean,conversation_day_num,dark_sum,dark_var,dark_mean,dark_day_num,phonecharge_sum,phonecharge_var,phonecharge_mean,phonecharge_day_num,phonelock_sum,phonelock_var,phonelock_mean,phonelock_day_num,in_time_second,near_time_second,in_all_percentage,pre_score,post_socre,Flourishing_score
0,u00,0.3492413145137353,0.9245545955057184,0.2319497349545815,0.6647659389408359,0.5495435315074594,0.7328480613965468,0.49502204345723294,0.2647058823529412,0.12720750054429145,0.5950349752315067,0.3112825878432048,0.028571428571428567,0.5467479597858148,0.5949722887905117,0.6209078256421209,0.11627906976744184,0.5369687520904523,0.2628423224668976,0.4167765963644749,0.5,0.4945299274598813,0.6473176637203314,0.5494953062112105,0.11363636363636365,0.34879394025175897,0.3487256631834404,0.6243946679355494,0,0,0.0
1,u01,0.4830025534154622,0.9801012300221308,0.1678042130581017,0.2970138521817578,0.8906702293475841,0.894641343683147,0.9198921178844554,0.2647058823529412,0.03160911969003815,0.3988123992667571,0.0,0.4,0.31628650945566666,0.056493418574236974,0.3469174266872958,0.20930232558139536,0.904674012316774,0.7647355209880704,0.8805533367878705,0.6086956521739131,0.3537643836433698,0.3149313672609803,0.3024487666092848,0.20454545454545456,0.5083303275058328,0.15515291365284878,0.8381350501567145,0,0,0.0
2,u02,0.6419566999033897,0.9911423463566036,0.4666491681354692,0.5401616317731825,0.3302159875306168,0.6634905583970879,0.3551971305226632,0.0,0.32083450627564586,0.3187622412824433,0.4289130032519155,0.14285714285714285,0.59004176114342,0.6733700032342408,0.6702661938782946,0.09302325581395347,0.6035041781741085,0.7667625670126011,0.7098907186700875,0.08695652173913042,0.7433670021474035,0.8301535859310945,0.8618736374748518,0.13636363636363635,0.07574587462405415,0.8347830204866841,0.15282083421804007,0,0,0.0
3,u03,1.0,0.9977136922040948,1.0,1.0,1.0,0.9595290315468106,1.0,0.7352941176470589,1.0,1.0,1.0,0.5428571428571428,0.8791105536789889,0.5664175071431014,0.7364493866972976,0.8604651162790697,0.7594693220586569,0.1815642947021285,0.5588067186532361,0.7391304347826086,0.7721994531880614,0.1102902995978328,0.6435766038484632,0.6590909090909091,0.2550111438472722,0.98573109312951,0.012731317558625886,-1,-1,-1.0
4,u04,0.0,0.946309933812293,0.0,0.8305748098734219,0.4898686261411712,0.6730989342209641,0.4206975134660481,0.2647058823529412,0.12750426072739526,0.9159681405888744,0.193061615322884,0.2571428571428571,0.0,0.598968629845538,0.0,0.2325581395348837,0.9140624466721364,0.7948137501692472,0.973175309328514,0.2608695652173913,0.1838915268297585,0.3459742919456897,0.023714718877587145,0.25,0.4069167515147088,0.6696084768413938,0.3613755652428863,-1,-1,-1.0
5,u05,0.7756665999110466,0.9865004164791216,0.5132257869119062,0.7696667190913093,0.2542863504787353,0.0,0.21376882533880864,0.1176470588235294,0.4722314285674665,0.6235811651670068,0.5641796211705895,0.14285714285714285,0.4915011930253128,0.42981788398955456,0.5063322895824157,0.2558139534883721,0.6195356431493917,0.2075429780186969,0.5127699467917041,0.5217391304347826,0.5202511826344063,0.0,0.472561252660768,0.2954545454545455,0.16432853509773776,0.8020914117798281,0.1923596311129276,0,0,0.0
6,u07,0.6102451765476931,0.9602848506540616,0.5164123980828013,0.041188123474416014,0.822311289245157,0.8037011261983729,0.7751653012225156,0.5,0.6369042088636997,0.0848682788698232,0.5253127736394291,0.6571428571428571,0.5027433483528764,0.2729664899286892,0.4145512294400972,0.4418604651162791,0.8552649362386467,0.6661418334096689,0.7492212166194488,0.7173913043478259,0.4991706200267831,0.010938970023359359,0.2634570207777815,0.5,0.5973369564153925,0.7581290825303831,0.3126932067472599,0,0,0.0
7,u09,0.5861582128924826,0.9873599644364516,0.3133251755673807,0.7691549196758165,0.5484301937207748,0.5353935518961479,0.5058092372078838,0.2352941176470588,0.0,0.4550643273711642,0.20462229232186335,0.028571428571428567,0.4394808310505394,0.2815989392599748,0.5172371185642778,0.11627906976744184,0.6959741814642244,0.6079557234606989,0.6974055207875915,0.3695652173913043,0.3190575573010829,0.3826864371331801,0.307551487176622,0.13636363636363635,0.12027103975975993,0.7760148783843374,0.21086228616522154,0,0,0.0
8,u10,0.7443095853296532,0.9968143645942724,0.515538358907104,0.8813227662465873,0.0,0.5721049831687851,0.0,0.0,0.3793073561857164,0.7436252923053532,0.5226619875527335,0.028571428571428567,0.3842109314177633,0.3982808171578383,0.4949721627881085,0.04651162790697674,0.7134841507883308,0.8972658085206965,0.7356617119251425,0.32608695652173914,0.25188434916843605,0.3885091157237087,0.3190197893876805,0.0,0.02861754329206925,0.9226763133439896,0.0684821752258772,0,0,0.0
9,u14,0.4577079673884297,0.9122666514594286,0.13693354096652505,0.2297339225674241,0.3224226230238254,0.5374266898638893,0.24562216284299684,0.2058823529411765,0.08670250901027705,0.0,0.249437357979304,0.08571428571428573,0.5355920269821822,0.5651881785462987,0.455741169860857,0.4418604651162791,0.7728045302574618,0.6657985428190952,0.7544630100499986,0.4565217391304348,0.4381278278554482,0.3543508857312567,0.3326466062217037,0.3181818181818182,0.17339689381156104,0.7222154229164758,0.2666786983502261,1,1,1.0
