,student_id,activity_mean,activity_sum,activity_avg,rows,day
0,u00,828.078125,54554,852.40625,461991,64
1,u01,669.8360655737705,41426,679.1147540983607,474862,61
2,u02,503.06060606060606,33760,511.5151515151515,527518,66
3,u03,111.22641509433963,5895,111.22641509433963,411402,53
4,u04,1224.8070175438597,70272,1232.842105263158,462516,57
5,u05,356.4761904761905,22458,356.4761904761905,471647,63
6,u07,547.8571428571429,26942,549.8367346938776,388016,49
7,u08,640.6153846153846,41640,640.6153846153846,508723,65
8,u09,564.1969696969697,37316,565.3939393939394,489438,66
9,u10,396.969696969697,26200,396.969696969697,531159,66
10,u12,459.27272727272725,30728,465.57575757575756,525377,66
11,u13,345.23333333333335,20934,348.9,438710,60
12,u14,729.4444444444445,45955,729.4444444444445,451115,63
13,u15,282.80434782608694,13011,282.8478260869565,245896,46
14,u16,406.93650793650795,25978,412.3492063492063,490749,63
15,u17,312.8939393939394,20671,313.1969696969697,526248,66
16,u18,279.98275862068965,16280,280.6896551724138,443776,58
17,u19,313.0,21114,319.90909090909093,525619,66
18,u20,200.375,9622,200.45833333333334,354198,48
19,u22,448.3606557377049,27485,450.57377049180326,439498,61
20,u23,197.10526315789474,11315,198.50877192982455,468330,57
21,u24,540.5483870967741,16757,540.5483870967741,249841,31
22,u25,529.4347826086956,24496,532.5217391304348,237758,46
23,u27,261.7692307692308,17368,267.2,509670,65
24,u30,724.5396825396825,45932,729.0793650793651,494845,63
25,u31,486.3125,31189,487.328125,496697,64
26,u32,717.1290322580645,44996,725.741935483871,472947,62
27,u33,447.9811320754717,23787,448.811320754717,423140,53
28,u34,527.8085106382979,25358,539.531914893617,362581,47
29,u35,367.93939393939394,24591,372.59090909090907,536077,66
30,u36,656.1212121212121,44240,670.3030303030303,521156,66
31,u39,34.56521739130435,817,35.52173913043478,163835,23
32,u41,247.26923076923077,12858,247.26923076923077,348903,52
33,u42,253.68627450980392,13284,260.47058823529414,361829,51
34,u43,561.2586206896551,32712,564.0,400298,58
35,u44,171.55,10372,172.86666666666667,471864,60
36,u45,349.75,17869,372.2708333333333,406876,48
37,u46,1210.7777777777778,65548,1213.851851851852,430927,54
38,u47,348.62745098039215,18387,360.52941176470586,397781,51
39,u49,567.1692307692308,37898,583.0461538461539,612741,65
40,u50,124.35897435897436,4928,126.35897435897436,285386,39
41,u51,745.5757575757576,49627,751.9242424242424,537914,66
42,u52,968.4153846153846,63411,975.5538461538462,241461,65
43,u53,208.30769230769232,13540,208.30769230769232,477052,65
44,u54,609.4347826086956,28112,611.1304347826087,331358,46
45,u56,533.7719298245614,31080,545.2631578947369,469698,57
46,u57,958.6212121212121,63799,966.6515151515151,511646,66
47,u58,403.44444444444446,25998,412.6666666666667,505755,63
48,u59,3429.060606060606,236683,3586.1060606060605,1945367,66
