,year,mon,day,conversation_time
0,2013,3,29,7461
1,2013,3,30,14259
2,2013,3,31,990
3,2013,4,1,3235
4,2013,4,2,3731
5,2013,4,4,2558
6,2013,4,5,5852
7,2013,4,6,6853
8,2013,4,9,233
9,2013,4,11,465
10,2013,4,12,3214
11,2013,4,13,12592
12,2013,4,14,4302
13,2013,4,15,7893
14,2013,4,16,7784
15,2013,4,17,1760
16,2013,4,18,3942
17,2013,4,19,2445
18,2013,4,20,10503
19,2013,4,21,4567
20,2013,4,22,11168
21,2013,4,23,7036
22,2013,4,24,1212
23,2013,4,25,1040
24,2013,4,27,293
25,2013,4,28,7238
26,2013,4,30,12416
27,2013,5,1,5144
28,2013,5,3,1395
29,2013,5,4,8119
30,2013,5,6,4619
31,2013,5,12,4814
32,2013,5,13,1809
33,2013,5,15,0
34,2013,5,16,878
35,2013,5,18,1192
36,2013,5,19,13345
37,2013,5,20,6901
38,2013,5,21,7569
39,2013,5,22,23775
40,2013,5,23,4990
41,2013,5,24,13827
42,2013,5,25,15952
43,2013,5,26,10559
44,2013,5,27,21261
45,2013,5,28,14180
46,2013,5,29,26941
