,year,mon,day,conversation_time
0,2013,3,27,10952
1,2013,3,28,12718
2,2013,3,29,33120
3,2013,3,30,29925
4,2013,3,31,21418
5,2013,4,1,34266
6,2013,4,2,19371
7,2013,4,3,15014
8,2013,4,4,40521
9,2013,4,5,32686
10,2013,4,6,35857
11,2013,4,7,31770
12,2013,4,8,41011
13,2013,4,9,23887
14,2013,4,10,39844
15,2013,4,11,32405
16,2013,4,12,43391
17,2013,4,13,33598
18,2013,4,14,26901
19,2013,4,15,26823
20,2013,4,16,24134
21,2013,4,17,40277
22,2013,4,18,29399
23,2013,4,19,40037
24,2013,4,20,28040
25,2013,4,21,23007
26,2013,4,22,29940
27,2013,4,23,29093
28,2013,4,24,11516
29,2013,4,25,39431
30,2013,4,26,36062
31,2013,4,27,36340
32,2013,4,28,24906
33,2013,4,29,18652
34,2013,5,3,24918
35,2013,5,4,33132
36,2013,5,8,24884
37,2013,5,9,57598
38,2013,5,10,22166
39,2013,5,11,47325
40,2013,5,12,27540
41,2013,5,13,33402
42,2013,5,14,32089
43,2013,5,15,35459
44,2013,5,16,45001
45,2013,5,17,23779
46,2013,5,18,45598
47,2013,5,19,16293
48,2013,5,25,11760
49,2013,5,26,44380
50,2013,5,27,34876
51,2013,5,28,33705
