,year,mon,day,conversation_time
0,2013,3,27,212
1,2013,3,28,0
2,2013,3,29,12114
3,2013,3,30,28059
4,2013,3,31,21595
5,2013,4,1,19953
6,2013,4,2,13605
7,2013,4,3,12222
8,2013,4,4,6900
9,2013,4,5,11608
10,2013,4,6,11507
11,2013,4,9,403
12,2013,4,10,11306
13,2013,4,11,14141
14,2013,4,12,23872
15,2013,4,13,9763
16,2013,4,14,9407
17,2013,4,15,11529
18,2013,4,16,9467
19,2013,4,17,1028
20,2013,4,19,9566
21,2013,4,20,30116
22,2013,4,21,32745
23,2013,4,22,17907
24,2013,4,23,19948
25,2013,4,24,41669
26,2013,4,25,14390
27,2013,4,26,8894
28,2013,4,27,10326
29,2013,4,28,11475
30,2013,4,29,1111
31,2013,4,30,17222
32,2013,5,1,3327
33,2013,5,2,13589
34,2013,5,3,10532
35,2013,5,4,20495
36,2013,5,5,21400
37,2013,5,6,11797
38,2013,5,7,4454
39,2013,5,8,13521
40,2013,5,9,7481
41,2013,5,10,17151
42,2013,5,11,12103
43,2013,5,12,13193
44,2013,5,13,1170
45,2013,5,14,8566
46,2013,5,15,19802
47,2013,5,16,11351
48,2013,5,18,3007
49,2013,5,19,6266
50,2013,5,20,7227
51,2013,5,21,12725
52,2013,5,22,22178
53,2013,5,23,351
54,2013,5,24,7203
55,2013,5,27,4797
56,2013,5,28,10001
57,2013,5,29,19392
58,2013,5,30,13755
59,2013,5,31,20668
