,year,mon,day,phonelock_time
0,2013,3,28,30661
1,2013,3,29,14163
2,2013,3,30,16119
3,2013,3,31,34019
4,2013,4,1,0
5,2013,4,2,26109
6,2013,4,3,0
7,2013,4,4,42998
8,2013,4,5,31376
9,2013,4,6,53052
10,2013,4,7,27565
11,2013,4,8,29704
12,2013,4,9,56800
13,2013,4,10,9481
14,2013,4,11,38497
15,2013,4,12,0
16,2013,4,13,27002
17,2013,4,14,25049
18,2013,4,15,31831
19,2013,4,16,3868
20,2013,4,17,56881
21,2013,4,18,48547
22,2013,4,19,33479
23,2013,4,20,41879
24,2013,4,21,19003
25,2013,4,22,12181
26,2013,4,23,40232
27,2013,4,24,0
28,2013,4,25,30331
29,2013,4,26,8540
30,2013,4,27,30655
31,2013,4,28,33652
32,2013,4,29,0
33,2013,4,30,45558
34,2013,5,1,29452
35,2013,5,2,25935
36,2013,5,3,31889
37,2013,5,4,38633
38,2013,5,5,27804
39,2013,5,6,29465
40,2013,5,7,21995
41,2013,5,8,11672
42,2013,5,9,40280
43,2013,5,10,9752
44,2013,5,11,26883
45,2013,5,12,38856
46,2013,5,13,42713
47,2013,5,14,40860
48,2013,5,15,9824
49,2013,5,16,29146
50,2013,5,17,42764
51,2013,5,18,41522
52,2013,5,19,57089
53,2013,5,20,4416
54,2013,5,21,29827
55,2013,5,22,22829
