,year,mon,day,phonelock_time
0,2013,3,28,55365
1,2013,3,29,71453
2,2013,3,30,68332
3,2013,3,31,21611
4,2013,4,1,6794
5,2013,4,2,6235
6,2013,4,3,71515
7,2013,4,4,35701
8,2013,4,5,0
9,2013,4,7,10833
10,2013,4,8,11571
11,2013,4,9,15373
12,2013,4,10,23697
13,2013,4,11,73632
14,2013,4,12,62974
15,2013,4,13,4213
16,2013,4,14,64675
17,2013,4,15,61124
18,2013,4,16,52218
19,2013,4,17,58926
20,2013,4,18,34033
21,2013,4,19,12130
22,2013,4,20,66425
23,2013,4,21,45884
24,2013,4,22,5237
25,2013,4,23,16071
26,2013,4,24,10513
27,2013,4,25,23238
28,2013,4,26,38514
29,2013,4,27,63151
30,2013,4,28,63908
31,2013,4,29,0
32,2013,4,30,16238
33,2013,5,2,18502
34,2013,5,3,0
35,2013,5,4,5012
36,2013,5,5,20988
37,2013,5,7,0
38,2013,5,8,19391
39,2013,5,15,40417
40,2013,5,16,27539
41,2013,5,17,0
42,2013,5,21,0
43,2013,5,24,24327
44,2013,5,25,3795
45,2013,5,26,36448
46,2013,5,27,0
47,2013,5,28,12698
