,year,mon,day,phonelock_time
0,2013,4,2,18481
1,2013,4,3,47824
2,2013,4,4,38172
3,2013,4,5,32948
4,2013,4,6,46383
5,2013,4,8,3696
6,2013,4,9,34047
7,2013,4,11,35016
8,2013,4,12,54373
9,2013,4,13,43306
10,2013,4,14,23743
11,2013,4,15,35584
12,2013,4,16,0
13,2013,4,18,36852
14,2013,4,19,4654
15,2013,4,21,22102
16,2013,4,22,29099
17,2013,4,23,8514
18,2013,4,28,28003
19,2013,4,29,33899
20,2013,4,30,25046
21,2013,5,5,16609
22,2013,5,6,36778
23,2013,5,7,58940
24,2013,5,8,37601
25,2013,5,9,37373
26,2013,5,10,8389
27,2013,5,11,65524
28,2013,5,12,57401
29,2013,5,13,27820
30,2013,5,14,0
31,2013,5,15,34150
32,2013,5,18,7361
33,2013,5,20,29074
34,2013,5,21,42959
35,2013,5,22,78148
36,2013,5,25,45895
37,2013,5,26,15258
38,2013,5,27,19765
39,2013,5,28,32891
