,uid,activity_mean,activity_var,audio_mean,audio_var,bluetooth_sum,bluetooth_var,bluetooth_mean,bluetooth_day_num,conversation_sum,conversation_var,conversation_mean,conversation_day_num,dark_sum,dark_var,dark_mean,dark_day_num,phonecharge_sum,phonecharge_var,phonecharge_mean,phonecharge_day_num,phonelock_sum,phonelock_var,phonelock_mean,phonelock_day_num,in_time_second,near_time_second,in_all_percentage,pre_score,post_socre,pre_label,post_label
0,u00,0.349241315,0.9245545959999999,0.231949735,0.664765939,0.5495435320000001,0.732848061,0.49502204299999997,0.264705882,0.127207501,0.595034975,0.311282588,0.028571429,0.54674796,0.594972289,0.620907826,0.11627907,0.536968752,0.262842322,0.416776596,0.5,0.49452992700000004,0.647317664,0.549495306,0.113636364,0.34879394,0.34872566299999996,0.624394668,48,45.0,1,1
1,u01,0.48300255299999995,0.98010123,0.167804213,0.29701385199999997,0.890670229,0.8946413440000001,0.9198921179999999,0.264705882,0.03160912,0.398812399,0.0,0.4,0.316286509,0.056493419,0.34691742700000006,0.209302326,0.9046740120000001,0.764735521,0.880553337,0.608695652,0.353764384,0.314931367,0.302448767,0.204545455,0.508330328,0.155152914,0.83813505,45,46.0,1,1
2,u02,0.6419566999999999,0.991142346,0.46664916799999995,0.540161632,0.330215988,0.663490558,0.355197131,0.0,0.320834506,0.318762241,0.42891300299999996,0.14285714300000002,0.590041761,0.6733700029999999,0.670266194,0.093023256,0.603504178,0.766762567,0.7098907190000001,0.086956522,0.743367002,0.8301535859999999,0.8618736370000001,0.13636363599999998,0.075745875,0.83478302,0.15282083400000002,46,44.0,1,1
5,u05,0.7756666,0.9865004159999999,0.513225787,0.769666719,0.25428635,0.0,0.213768825,0.117647059,0.472231429,0.623581165,0.564179621,0.14285714300000002,0.49150119299999995,0.429817884,0.50633229,0.255813953,0.619535643,0.20754297800000002,0.512769947,0.52173913,0.520251183,0.0,0.47256125299999996,0.295454545,0.164328535,0.802091412,0.192359631,48,50.0,1,1
6,u07,0.610245177,0.9602848509999999,0.5164123979999999,0.041188123,0.8223112890000001,0.803701126,0.7751653009999999,0.5,0.636904209,0.084868279,0.525312774,0.6571428570000001,0.502743348,0.27296649,0.41455122899999997,0.441860465,0.855264936,0.666141833,0.749221217,0.7173913040000001,0.49917062,0.01093897,0.263457021,0.5,0.597336956,0.7581290829999999,0.312693207,49,47.0,1,1
35,u08,0.517925165,0.9872563129999999,0.344619778,0.8070940940000001,0.252282342,0.22690851,0.19527341399999998,0.147058824,0.139546623,0.661129289,0.295152438,0.085714286,0.497578409,0.84376672,0.591020538,0.069767442,0.534757139,0.72506883,0.63802429,0.10869565199999999,0.48814666700000003,0.8452386559999999,0.565742046,0.06818181799999999,0.124378316,0.8848253640000001,0.11012009099999999,39,42.6,1,1
7,u09,0.5861582129999999,0.987359964,0.31332517600000004,0.76915492,0.548430194,0.535393552,0.505809237,0.235294118,0.0,0.45506432700000005,0.20462229199999998,0.028571429,0.439480831,0.281598939,0.517237119,0.11627907,0.695974181,0.607955723,0.697405521,0.36956521700000006,0.319057557,0.38268643700000005,0.307551487,0.13636363599999998,0.12027104,0.776014878,0.210862286,46,47.0,1,1
8,u10,0.744309585,0.996814365,0.515538359,0.8813227659999999,0.0,0.572104983,0.0,0.0,0.37930735600000004,0.743625292,0.522661988,0.028571429,0.38421093100000003,0.398280817,0.49497216299999997,0.046511628,0.713484151,0.8972658090000001,0.7356617120000001,0.326086957,0.251884349,0.388509116,0.319019789,0.0,0.028617543,0.922676313,0.068482175,39,39.0,1,1
36,u12,0.683006164,0.9775121109999999,0.508076263,0.854818082,0.683589401,0.735823586,0.735303568,0.0,0.30089333100000004,0.736296183,0.467500386,0.0,0.080369066,0.355011375,0.242748292,0.0,0.17562665800000002,0.0,0.271238899,0.152173913,0.148079926,0.8150176159999999,0.19573764899999999,0.0,0.060342775,0.9062222670000001,0.085580441,49,48.3,1,1
37,u13,0.78253893,0.983007286,0.6960214440000001,0.87512999,0.41572033,0.42230244,0.35788454299999994,0.20588235300000002,0.6031075229999999,0.7256212590000001,0.665026444,0.2,0.728287591,0.5538317389999999,0.70639868,0.418604651,0.587310255,0.788694824,0.581489095,0.347826087,0.586105124,0.391728865,0.6219589670000001,0.204545455,0.184435727,0.842959613,0.155724416,44,45.5,1,1
9,u14,0.45770796700000005,0.9122666509999999,0.136933541,0.229733923,0.322422623,0.53742669,0.245622163,0.20588235300000002,0.086702509,0.0,0.249437358,0.085714286,0.5355920270000001,0.565188179,0.45574117,0.441860465,0.77280453,0.665798543,0.75446301,0.456521739,0.438127828,0.35435088600000003,0.332646606,0.318181818,0.173396894,0.722215423,0.266678698,52,53.0,1,1
10,u15,0.867608497,0.982385318,0.641720957,0.620443395,0.7323535959999999,0.402841843,0.644831363,0.5,0.623805852,0.286969857,0.563767923,0.542857143,0.918958398,0.7235556890000001,0.7363407540000001,1.0,0.987522133,0.917759705,0.918462268,0.913043478,0.9339155859999999,0.601702418,0.865779654,0.8863636359999999,0.176184323,0.67390311,0.309840904,43,48.0,1,1
11,u16,0.7308288070000001,0.983510874,0.647729821,0.790670852,0.567356936,0.693504654,0.540344401,0.20588235300000002,0.45613704200000005,0.6799002479999999,0.495708129,0.28571428600000004,0.6008124260000001,0.54222696,0.67317327,0.11627907,0.540686173,0.18027677,0.575531957,0.260869565,0.38272148100000003,0.571081211,0.434572787,0.06818181799999999,0.122885294,0.8879809940000001,0.10697836699999999,42,41.0,1,1
